Customer Name,Mobile,Outlet,Order DateTime,Items,Total Price (INR)
Divyansh Dani,6154186449,Kondapur,2025-05-05 10:54:55,"Triangle Baklava, Mixed Dry-Fruit Baklava, Kunafa Chocolate",1197
Vivaan Bajwa,+911215169733,Kondapur,2025-05-12 06:53:16,"Cashew Basbousa, Triangle Baklava",698
Faiyaz Setty,2195635410,Kondapur,2025-05-26 20:08:21,Triangle Baklava,399
Lavanya Dhillon,5012232225,Kondapur,2025-05-28 10:32:53,"Triangle Baklava, Almond Basbousa, Cashew Basbousa",997
Myra Manne,9780012093,Kondapur,2025-05-13 04:00:37,Mixed Dry-Fruit Baklava,449
Purab Batta,4772189481,Kondapur,2025-05-13 17:41:31,Cashew Basbousa,299
Amani Rattan,9439347703,Kondapur,2025-05-31 22:31:01,Mixed Dry-Fruit Baklava,449
Siya Soman,+918330708365,Kondapur,2025-05-27 23:52:40,"Cashew Basbousa, Kunafa Chocolate, Kataifi Cream Cheese Kunafa",1047
Nirvi Mammen,4108104988,Kondapur,2025-05-25 07:08:04,"Kataifi Cream Cheese Kunafa, Triangle Baklava, Cashew Basbousa",1097
Inaaya  Sane,+913174604973,Kondapur,2025-05-11 10:13:25,"Almond Basbousa, Kataifi Cream Cheese Kunafa, Mixed Dry-Fruit Baklava",1147
Jayan Barad,4467005441,Kondapur,2025-05-18 20:12:36,Kataifi Cream Cheese Kunafa,399
Jayesh Varkey,2625416332,Kondapur,2025-05-10 13:59:49,"Almond Basbousa, Triangle Baklava",698
Advik Talwar,7839838061,Kondapur,2025-05-26 22:58:04,Kunafa Chocolate,349
Jayant Chada,2555828852,Kondapur,2025-05-30 15:44:54,Triangle Baklava,399
Vivaan Suri,9375726657,Kondapur,2025-05-17 11:50:23,"Triangle Baklava, Pista Finger Baklava",798
Vaibhav Wagle,+913724081650,Kondapur,2025-05-06 12:31:34,"Almond Basbousa, Kataifi Cream Cheese Kunafa",698
Taran Bal,6779143976,Kondapur,2025-05-04 23:58:21,Nutella Cream Cheese Kunafa,399
Biju Tandon,5733185088,Kondapur,2025-05-03 20:20:02,"Triangle Baklava, Cashew Basbousa, Mixed Dry-Fruit Baklava",1147
Bhavin Kuruvilla,5362615125,Kondapur,2025-05-29 18:16:42,"Almond Basbousa, Kataifi Cream Cheese Kunafa, Kunafa Chocolate",1047
Kiara Dixit,9906149171,Kondapur,2025-05-20 03:20:34,"Kunafa Chocolate, Almond Basbousa, Triangle Baklava",1047
Urvi Kuruvilla,+913352817689,Kondapur,2025-05-08 23:17:41,"Triangle Baklava, Mixed Dry-Fruit Baklava, Kunafa Chocolate",1197
Tiya Bir,+916776423102,Kondapur,2025-05-05 23:32:30,Almond Basbousa,299
Zain Chatterjee,3176733165,Kondapur,2025-05-14 20:28:06,Cashew Basbousa,299
Charvi Dixit,532924771,Kondapur,2025-05-28 19:19:23,Kataifi Cream Cheese Kunafa,399
Piya Chahal,+916526014641,Kondapur,2025-05-23 18:04:23,"Nutella Cream Cheese Kunafa, Kunafa Chocolate",748
Baiju Brahmbhatt,2148678873,Kondapur,2025-05-29 15:57:21,"Pista Finger Baklava, Nutella Cream Cheese Kunafa",798
Raunak Bhatt,+911299996528,Kondapur,2025-05-04 14:41:46,"Cashew Basbousa, Kunafa Chocolate",648
Devansh Atwal,5054755143,Kondapur,2025-05-26 23:34:24,"Triangle Baklava, Almond Basbousa",698
Pihu Bal,9085542294,Kondapur,2025-05-08 01:46:10,"Pista Finger Baklava, Almond Basbousa, Kunafa Chocolate",1047
Nirvaan Kala,1833931420,Kondapur,2025-05-30 21:26:01,Pista Finger Baklava,399
Advika Mane,8374630712,Kondapur,2025-05-17 14:03:41,"Kataifi Cream Cheese Kunafa, Pista Finger Baklava",798
Myra Bobal,8288879049,Kondapur,2025-05-11 15:40:08,"Cashew Basbousa, Kunafa Chocolate, Pista Finger Baklava",1047
Advik Lata,1985977293,Kondapur,2025-05-17 21:12:28,Cashew Basbousa,299
Devansh Mammen,1392173146,Kondapur,2025-05-27 00:44:32,Kunafa Chocolate,349
Alisha Gour,4622818385,Kondapur,2025-05-20 16:00:39,"Almond Basbousa, Mixed Dry-Fruit Baklava",748
Amira Bhattacharyya,6781302119,Kondapur,2025-05-14 05:17:35,Kunafa Chocolate,349
